Variable Name,Variable Description,Component
SSMUCAL,"trans, trans-Muconic acid comment code",Laboratory
SSN2FG,N-2-Furoylglycine (ng/mL),Laboratory
SSN2FGL,N-2-Furoylglycine comment code,Laboratory
SSPHMA,Phenylmercapturic acid (ng/mL),Laboratory
SSPHMAL,Phenylmercapturic acid comment code,Laboratory
WTSSAJ2Y,Surplus specimen 2 year weights A for 2017-2018,Laboratory
LBXEOA,Ethylene Oxide (pmol/g Hb),Laboratory
SEQN,Respondent sequence number,Laboratory
WTSA2YR,Subsample A weights,Laboratory
SEQN,Respondent sequence number.,Laboratory
SSBPPP,4-((tert-butyl)phenyl)phenyl phosphate (µg/L),Laboratory
SSBPPPL,4-((tert-butyl)phenyl)phenyl phosphate (µg/L) comment code,Laboratory
SSIPPP,2-((isopropyl)phenyl)phenyl phosphate (µg/L),Laboratory
SSIPPPL,2-((isopropyl)phenyl)phenyl phosphate (µg/L) comment code,Laboratory
WTSSBJ2Y,Surplus specimen 2 year weights B for 2017-2018,Laboratory
SEQN,Respondent sequence number.,Laboratory
SSGLYP,Glyphosate (ng/mL),Laboratory
SSGLYPL,Glyphosate comment code,Laboratory
WTSSBJ2Y,Surplus specimen 2 year weights B for 2017-2018,Laboratory
SEQN,Respondent sequence number.,Laboratory
SSAGP,Alpha-1-Acid Glycoprotein (g/L),Laboratory
WTSSGP2Y,Surplus specimen Alpha-1-Acid Glycoprotein 2 year weights,Laboratory
BPD035,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,Questionnaire
BPQ020,"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?",Questionnaire
BPQ030,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?",Questionnaire
BPQ040A,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?",Questionnaire
BPQ050A,{Are you/Is SP} now taking prescribed medicine?,Questionnaire
BPQ060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,Questionnaire
BPQ070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked?  Has it been...,Questionnaire
BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,Questionnaire
BPQ090D,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?",Questionnaire
BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
HUD080,"How many different times did {you/SP} stay in any hospital overnight or longer {during the past 12 months}? (Do not count total number of nights, just total number of hospital admissions for stays which lasted 1 or more nights.)",Questionnaire
HUQ010,{First/Next} I have some general questions about {your/SP's} health.  Would you say {your/SP's} health in general is . . .,Questionnaire
HUQ020,"Compared with 12 months ago, would you say {your/SP's} health is now . . .",Questionnaire
HUQ030,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,Questionnaire
HUQ041,"{What kind of place is it - a clinic, doctor's office, emergency room, or some other place?} {What kind of place {do you/does SP} go to most often - a clinic, doctor's office, emergency room, or some other place?}",Questionnaire
HUQ051,"{During the past 12 months, how/How} many times {have you/has SP} seen a doctor or other health care professional about {your/his/her} health at a doctor's office, a clinic or some other place?  Do not include times {you were/s/he was} hospitalized overnight, visits to hospital emergency rooms, home visits or telephone calls.",Questionnaire
HUQ061,About how long has it been since {you/SP} last saw or talked to a doctor or other health care professional about {your/his/her} health?  Include doctors seen while {you were} {he/she was} a patient in a hospital.  Has it been . . .,Questionnaire
HUQ071,"{During the past 12 months, were you/{was} SP} a patient in a hospital overnight?  Do not include an overnight stay in the emergency room.",Questionnaire
HUQ090,"During the past 12 months, that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR}, {have you/has SP} seen or talked to a mental health professional such as a psychologist, psychiatrist, psychiatric nurse or clinical social worker about {your/his/her} health?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
HEQ010,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} Hepatitis B? (Hepatitis is a form of liver disease. Hepatitis B is an infection of the liver from the Hepatitis B virus (HBV).),Questionnaire
HEQ020,Please look at the drugs on this card that are prescribed for Hepatitis B. {Were you/Was/s/he/SP} ever prescribed any medicine to treat Hepatitis B?,Questionnaire
HEQ030,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} Hepatitis C? (Hepatitis is a form of liver disease. Hepatitis C is an infection of the liver from the Hepatitis C virus (HCV).),Questionnaire
HEQ040,Please look at the drugs on this card that are prescribed for Hepatitis C. {Were you/ Was/s/he/SP} ever prescribed any medicine to treat Hepatitis C?,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
CDQ001,{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?,Questionnaire
CDQ002,{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?,Questionnaire
CDQ003,{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?,Questionnaire
CDQ004,What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking?  {Do you/Does she/Does he} stop or slow down or continue at the same pace?,Questionnaire
CDQ005,"If {you/she/he} stand still, what happens to it?  Is the pain or discomfort relieved or not relieved?",Questionnaire
CDQ006,How soon is the pain relieved?  Would you say...,Questionnaire
CDQ008,Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?,Questionnaire
CDQ009A,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009B,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009C,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009D,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009E,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009F,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009G,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ009H,Please look at this card and show me where the pain or discomfort is located.,Questionnaire
CDQ010,{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
PAQ706,"I'd like to ask you some questions about {your/SP's} activities. During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",Questionnaire
PAQ710,"Now I will ask you first about TV watching and then about computer use. Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Questionnaire
PAQ715,"Text: Over the past 30 days, on average how many hours per day did {you/SP} use a computer or play computer games outside of school? Include Playstation, Nintendo DS, or other portable video games Would you say . . .",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
PAD615,How much time {do you/does SP} spend doing vigorous-intensity activities at work on a typical day?,Questionnaire
PAD630,How much time {do you/does SP} spend doing moderate-intensity activities at work on a typical day?,Questionnaire
PAD645,How much time {do you/does SP} spend walking or bicycling for travel on a typical day?,Questionnaire
PAD660,"How much time {do you/does SP} spend doing vigorous-intensity sports, fitness or recreational activities on a typical day?",Questionnaire
PAD675,"How much time {do you/does SP} spend doing moderate-intensity sports, fitness or recreational activities on a typical day?",Questionnaire
PAD680,"The following question is about sitting at school, at home, getting to and from places, or with friends including time spent sitting at a desk, traveling in a car or bus, reading, playing cards, watching television, or using a computer. Do not include time spent sleeping. How much time {do you/does SP} usually spend sitting on a typical day?",Questionnaire
PAQ605,"Next I am going to ask you about the time {you spend/SP spends} doing different types of physical activity in a typical week. Think first about the time {you spend/he spends/she spends} doing work.  Think of work as the things that {you have/he has/she has} to do such as paid or unpaid work,  household chores, and yard work.  Does {your/SP's} work involve vigorous-intensity activity that causes large increases in breathing or heart rate like carrying or lifting heavy loads, digging or construction work for at least 10 minutes continuously?",Questionnaire
PAQ610,"In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?",Questionnaire
PAQ620,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,Questionnaire
PAQ625,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Questionnaire
PAQ635,"The next questions exclude the physical activity at work that you have already mentioned.  Now I would like to ask you about the usual way {you travel/SP travels} to and from places.  For example to school, for shopping, to work.  In a typical week  {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?",Questionnaire
PAQ640,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Questionnaire
PAQ650,"The next questions exclude the work and transport activities that you have already mentioned.  Now I would like to ask you about sports, fitness and recreational activities.  In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Questionnaire
PAQ655,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Questionnaire
PAQ665,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Questionnaire
PAQ670,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
IMQ011,"Hepatitis (Hep-a-ti-tis) A vaccine is given as a two dose series to some children older than 2 years and also to some adults, especially people who travel outside the United States.  It has only been available since 1995.  {Have you/Has SP} ever received hepatitis A vaccine?",Questionnaire
IMQ020,"Hepatitis (Hep-a-ti-tis) B vaccine is given in three separate doses and has been recommended for all newborn infants since 1991.  In 1995, it was recommended that adolescents be given the vaccine.  Persons who may be exposed to other people's blood, such as health care workers, also may have received the vaccine.  {Have you/Has SP} ever received the 3-dose series of the hepatitis B vaccine?",Questionnaire
IMQ060,"Human Papillomavirus (HPV) vaccine is given to prevent cervical cancer in girls and women.  The HPV vaccines available are called Cervarix, Gardasil or Gardasil 9.  It is given in 2 or 3 separate doses over a 6 month period.  {Have you/Has SP} ever received one or more doses of the HPV vaccine?",Questionnaire
IMQ070,Human Papillomavirus (HPV) vaccine is given to prevent HPV infection and genital warts in boys and men.  It is given in 2 or 3 separate doses over a 6 month period.  {Have you/Has SP} ever received one or more doses of the HPV vaccine? (The brand name for the vaccine is Gardasil.),Questionnaire
IMQ081A,"Which of the HPV vaccines did {you/SP} receive, Cervarix, Gardasil or Gardasil 9?",Questionnaire
IMQ081B,"Which of the HPV vaccines did {you/SP} receive, Cervarix, Gardasil or Gardasil 9?",Questionnaire
IMQ081C,"Which of the HPV vaccines did {you/SP} receive, Cervarix, Gardasil or Gardasil 9?",Questionnaire
IMQ081D,"Which of the HPV vaccines did {you/SP} receive, Cervarix, Gardasil or Gardasil 9?",Questionnaire
IMQ090,How old {were you/was SP} when {you/SP} received your first dose of {Cervarix/Gardasil/Gardasil 9/Gardasil or Gardasil 9/the vaccine}?,Questionnaire
IMQ100,How many doses of {Cervarix/Gardasil/Gardasil or Gardasil 9/the vaccine} {have you/has SP} received?,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
HIQ011,The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan?  [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.],Questionnaire
HIQ031A,{Are you/Is SP} covered by private insurance?,Questionnaire
HIQ031AA,No coverage of any type.,Questionnaire
HIQ031B,{Are you/Is SP} covered by Medicare?,Questionnaire
HIQ031C,{Are you/Is SP} covered by Medi-Gap?,Questionnaire
HIQ031D,{Are you/Is SP} covered by Medicaid?,Questionnaire
HIQ031E,{Are you/Is SP} covered by CHIP (Children's Health Insurance Program)?,Questionnaire
HIQ031F,{Are you/Is SP} covered by military health plan (Tricare/VA/Champ-VA)?,Questionnaire
HIQ031H,{Are you/Is SP} covered by state-sponsored health plan?,Questionnaire
HIQ031I,{Are you/Is SP} covered by other government insurance?,Questionnaire
HIQ031J,{Are you/Is SP} covered by any single service plan?,Questionnaire
HIQ105,Insurance card available or not.,Questionnaire
HIQ210,"In the past 12 months, was there any time when {you/SP} did not have any health insurance coverage?",Questionnaire
HIQ260,{Do you/Does SP} have Medicare?,Questionnaire
HIQ270,{Does this plan/Do any of these plans} cover any part of the cost of prescriptions?,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
DLQ010,"With this next set of questions, we want to learn about people who have physical, mental, or emotional conditions that cause serious difficulties with their daily activities. Though different, these questions may sound similar to ones I asked earlier. {Are you/Is SP} deaf or {do you/does he/does she} have serious difficulty hearing?",Questionnaire
DLQ020,{Are you/Is SP} blind or {do you/does he/does she} have serious difficulty seeing even when wearing glasses?,Questionnaire
DLQ040,"Because of a physical, mental, or emotional condition, {do you/does he/does she} have serious difficulty concentrating, remembering, or making decisions?",Questionnaire
DLQ050,{Do you/Does SP} have serious difficulty walking or climbing stairs?,Questionnaire
DLQ060,{Do you/Does SP} have difficulty dressing or bathing?,Questionnaire
DLQ080,"Because of a physical, mental, or emotional condition, {do you/does he/does she} have difficulty doing errands alone such as visiting a doctor's office or shopping?",Questionnaire
DLQ100,"How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never?",Questionnaire
DLQ110,Do you take medication for these feelings?,Questionnaire
DLQ130,"Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?",Questionnaire
DLQ140,"How often do you feel depressed? Would you say daily, weekly, monthly, a few times a year, or never?",Questionnaire
DLQ150,Do you take medication for depression?,Questionnaire
DLQ170,"Thinking about the last time you felt depressed, how depressed did you feel? Would you say a little, a lot, or somewhere in between?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
DID040,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?,Questionnaire
DID060,For how long {have you/has SP} been taking insulin?,Questionnaire
DID250,How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?,Questionnaire
DID260,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Questionnaire
DID310D,"What does {your/SP's} doctor or other health professional say {your/his/her} 

blood pressure should be?",Questionnaire
DID310S,"What does {your/SP's} doctor or other health professional say {your/his/her} 

blood pressure should be?",Questionnaire
DID320,"One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, 

called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most 

recent LDL cholesterol number?",Questionnaire
DID330,"What does {your/SP's} doctor or other health professional say {your/his/her} 

LDL cholesterol should be?",Questionnaire
DID341,"During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?",Questionnaire
DID350,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Questionnaire
DIQ010,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?",Questionnaire
DIQ050,{Is SP/Are you} now taking insulin,Questionnaire
DIQ060U,UNIT OF MEASURE,Questionnaire
DIQ070,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar?  These are sometimes called oral agents or oral hypoglycemic agents.,Questionnaire
DIQ080,Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?,Questionnaire
DIQ160,"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following:  prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?",Questionnaire
DIQ170,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?,Questionnaire
DIQ172,{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?,Questionnaire
DIQ175A,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175B,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175C,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175D,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175E,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175F,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175G,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175H,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175I,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175J,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175K,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175L,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175M,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175N,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175O,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175P,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175Q,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175R,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175S,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175T,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175U,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175V,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?,Questionnaire
DIQ175W,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]",Questionnaire
DIQ175X,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Questionnaire
DIQ180,{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?,Questionnaire
DIQ230,When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes?  Do not include doctors or other health professionals.,Questionnaire
DIQ240,"Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes?  Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors.",Questionnaire
DIQ260U,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Questionnaire
DIQ275,"Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?",Questionnaire
DIQ280,"What was {your/SP's} last ""A one C"" level?",Questionnaire
DIQ291,"What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level  should be?  (Pick the lowest level recommended by your health care professional.)",Questionnaire
DIQ300D,"Blood pressure is usually given as one number over another. What was 

{your/SP's} most recent blood pressure in numbers?",Questionnaire
DIQ300S,"Blood pressure is usually given as one number over another. What was 

{your/SP's} most recent blood pressure in numbers?",Questionnaire
DIQ350U,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Questionnaire
DIQ360,When was the last time {you/SP} had an eye exam in which the pupils were dilated?  This would have made {you/SP} temporarily sensitive to bright light.,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
PFQ020,"{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk, run or play} {walk or run}?",Questionnaire
PFQ030,"Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?",Questionnaire
PFQ033,"{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment, such as a brace, a wheelchair, or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?",Questionnaire
PFQ041,Does {SP} receive Special Education or Early Intervention Services?,Questionnaire
PFQ049,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness.  Please do not include temporary conditions, such as a cold [or pregnancy].  Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?",Questionnaire
PFQ051,"{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?",Questionnaire
PFQ054,"Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?",Questionnaire
PFQ057,{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?,Questionnaire
PFQ059,"{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?",Questionnaire
PFQ061A,"The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem.  By ""health problem"" we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}.   By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?",Questionnaire
PFQ061B,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?",Questionnaire
PFQ061C,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking up 10 steps without resting?",Questionnaire
PFQ061D,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .stooping, crouching, or kneeling?",Questionnaire
PFQ061E,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?",Questionnaire
PFQ061F,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing chores around the house [like vacuuming, sweeping, dusting, or straightening up]?",Questionnaire
PFQ061G,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .preparing {your/his/her} own meals?",Questionnaire
PFQ061H,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking from one room to another on the same level?",Questionnaire
PFQ061I,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing up from an armless straight chair?",Questionnaire
PFQ061J,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .getting in or out of bed?",Questionnaire
PFQ061K,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .eating, like holding a fork, cutting food or drinking from a glass?",Questionnaire
PFQ061L,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?",Questionnaire
PFQ061M,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing or being on {your/his/her} feet for about 2 hours?",Questionnaire
PFQ061N,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .sitting for about 2 hours?",Questionnaire
PFQ061O,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .reaching up over {your/his/her} head?",Questionnaire
PFQ061P,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .using {your/his/her} fingers to grasp or handle small objects?",Questionnaire
PFQ061Q,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .going out to things like shopping, movies, or sporting events?",Questionnaire
PFQ061R,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .participating in social activities [visiting friends, attending clubs or meetings or going to parties]?",Questionnaire
PFQ061S,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?",Questionnaire
PFQ061T,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .pushing or pulling large objects like a living room chair?",Questionnaire
PFQ063A,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Questionnaire
PFQ063B,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Questionnaire
PFQ063C,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Questionnaire
PFQ063D,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Questionnaire
PFQ063E,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Questionnaire
PFQ090,"{Do you/Does SP} now have any health problem that requires {you/him/her} to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SMAQUEX,Questionnaire Mode Flag.,Questionnaire
SMDANY,Used any tobacco product last 5 days?,Questionnaire
SMQ681,"The following questions ask about use of tobacco products in the past 5 days.  During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?",Questionnaire
SMQ690A,Which of these products did {you/he/she} use?,Questionnaire
SMQ690B,Which of these products did {you/he/she} use?,Questionnaire
SMQ690C,Which of these products did {you/he/she} use?,Questionnaire
SMQ690D,Which of these products did {you/he/she} use?,Questionnaire
SMQ690E,Which of these products did {you/he/she} use?,Questionnaire
SMQ690F,Which of these products did {you/he/she} use?,Questionnaire
SMQ690G,Which of these products did {you/he/she} use?,Questionnaire
SMQ690H,Which of these products did {you/he/she} use?,Questionnaire
SMQ690K,Which of these products did {you/he/she} use?,Questionnaire
SMQ710,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?",Questionnaire
SMQ720,"During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?",Questionnaire
SMQ725,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,Questionnaire
SMQ740,"During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?",Questionnaire
SMQ770,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?",Questionnaire
SMQ800,"During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?",Questionnaire
SMQ817,"During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?",Questionnaire
SMQ830,"During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",Questionnaire
SMQ840,When did {you/he/she} last use a nicotine replacement therapy product?  Was it . . .,Questionnaire
