Variable Name,Component,Variable Description
DID060,Questionnaire,For how long {have you/has SP} been taking insulin?
DID250,Questionnaire,How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?
DID260,Questionnaire,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DID310D,Questionnaire,"What does {your/SP's} doctor or other health professional say {your/his/her} 

blood pressure should be?"
DID310S,Questionnaire,"What does {your/SP's} doctor or other health professional say {your/his/her} 

blood pressure should be?"
DID320,Questionnaire,"One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, 

called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most 

recent LDL cholesterol number?"
DID330,Questionnaire,"What does {your/SP's} doctor or other health professional say {your/his/her} 

LDL cholesterol should be?"
DID341,Questionnaire,"During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?"
DID350,Questionnaire,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DIQ010,Questionnaire,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?"
DIQ050,Questionnaire,{Is SP/Are you} now taking insulin
DIQ060U,Questionnaire,UNIT OF MEASURE
DIQ070,Questionnaire,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar?  These are sometimes called oral agents or oral hypoglycemic agents.
DIQ080,Questionnaire,Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?
DIQ160,Questionnaire,"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following:  prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?"
DIQ170,Questionnaire,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?
DIQ172,Questionnaire,{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?
DIQ175A,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175B,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175C,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175D,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175E,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175F,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175G,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175H,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175I,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175J,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175K,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175L,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175M,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175N,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175O,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175P,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175Q,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175R,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175S,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175T,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175U,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175V,Questionnaire,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
DIQ175W,Questionnaire,"Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?
[Anything else?]"
DIQ175X,Questionnaire,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]
DIQ180,Questionnaire,{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?
DIQ230,Questionnaire,When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes?  Do not include doctors or other health professionals.
DIQ240,Questionnaire,"Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes?  Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors."
DIQ260U,Questionnaire,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DIQ275,Questionnaire,"Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?"
DIQ280,Questionnaire,"What was {your/SP's} last ""A one C"" level?"
DIQ291,Questionnaire,"What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level  should be?  (Pick the lowest level recommended by your health care professional.)"
DIQ300D,Questionnaire,"Blood pressure is usually given as one number over another. What was 

{your/SP's} most recent blood pressure in numbers?"
DIQ300S,Questionnaire,"Blood pressure is usually given as one number over another. What was 

{your/SP's} most recent blood pressure in numbers?"
DIQ350U,Questionnaire,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional."
DIQ360,Questionnaire,When was the last time {you/SP} had an eye exam in which the pupils were dilated?  This would have made {you/SP} temporarily sensitive to bright light.
SEQN,Questionnaire,Respondent sequence number.
PFQ020,Questionnaire,"{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk, run or play} {walk or run}?"
PFQ030,Questionnaire,"Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?"
PFQ033,Questionnaire,"{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment, such as a brace, a wheelchair, or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?"
PFQ041,Questionnaire,Does {SP} receive Special Education or Early Intervention Services?
PFQ049,Questionnaire,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness.  Please do not include temporary conditions, such as a cold [or pregnancy].  Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?"
PFQ051,Questionnaire,"{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?"
PFQ054,Questionnaire,"Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?"
PFQ057,Questionnaire,{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?
PFQ059,Questionnaire,"{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?"
PFQ061A,Questionnaire,"The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem.  By ""health problem"" we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}.   By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?"
PFQ061B,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?"
PFQ061C,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking up 10 steps without resting?"
PFQ061D,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .stooping, crouching, or kneeling?"
PFQ061E,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?"
PFQ061F,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing chores around the house [like vacuuming, sweeping, dusting, or straightening up]?"
PFQ061G,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .preparing {your/his/her} own meals?"
PFQ061H,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking from one room to another on the same level?"
PFQ061I,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing up from an armless straight chair?"
PFQ061J,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .getting in or out of bed?"
PFQ061K,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .eating, like holding a fork, cutting food or drinking from a glass?"
PFQ061L,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?"
PFQ061M,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing or being on {your/his/her} feet for about 2 hours?"
PFQ061N,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .sitting for about 2 hours?"
PFQ061O,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .reaching up over {your/his/her} head?"
PFQ061P,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .using {your/his/her} fingers to grasp or handle small objects?"
PFQ061Q,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .going out to things like shopping, movies, or sporting events?"
PFQ061R,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .participating in social activities [visiting friends, attending clubs or meetings or going to parties]?"
PFQ061S,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?"
PFQ061T,Questionnaire,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .pushing or pulling large objects like a living room chair?"
PFQ063A,Questionnaire,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063B,Questionnaire,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063C,Questionnaire,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063D,Questionnaire,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ063E,Questionnaire,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?
PFQ090,Questionnaire,"{Do you/Does SP} now have any health problem that requires {you/him/her} to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone?"
SEQN,Questionnaire,Respondent sequence number.
SEQN,Questionnaire,Respondent sequence number.
SMAQUEX,Questionnaire,Questionnaire Mode Flag.
SMDANY,Questionnaire,Used any tobacco product last 5 days?
SMQ681,Questionnaire,"The following questions ask about use of tobacco products in the past 5 days.  During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?"
SMQ690A,Questionnaire,Which of these products did {you/he/she} use?
SMQ690B,Questionnaire,Which of these products did {you/he/she} use?
SMQ690C,Questionnaire,Which of these products did {you/he/she} use?
SMQ690D,Questionnaire,Which of these products did {you/he/she} use?
SMQ690E,Questionnaire,Which of these products did {you/he/she} use?
SMQ690F,Questionnaire,Which of these products did {you/he/she} use?
SMQ690G,Questionnaire,Which of these products did {you/he/she} use?
SMQ690H,Questionnaire,Which of these products did {you/he/she} use?
SMQ690K,Questionnaire,Which of these products did {you/he/she} use?
SMQ710,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?"
SMQ720,Questionnaire,"During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?"
SMQ725,Questionnaire,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...
SMQ740,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?"
SMQ770,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?"
SMQ800,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?"
SMQ817,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?"
SMQ830,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?"
SMQ840,Questionnaire,When did {you/he/she} last use a nicotine replacement therapy product?  Was it . . .
SMQ845,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?"
SMQ849,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?"
SMQ851,Questionnaire,"Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables.  During the past 5 days, including today, did {you/he/she} use any smokeless tobacco? (Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)"
SMQ857O,Questionnaire,"During the past 5 days, including today, on how many days did {you/he/she} use other smokeless tobacco products?"
SMQ863,Questionnaire,"During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?"
SEQN,Questionnaire,Respondent sequence number.
SMD460,Questionnaire,"Now I would like to ask you a few questions about smoking in this home.  How many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product?"
SMD470,Questionnaire,"Not counting decks, porches, or detached garages, how many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product inside this home?"
SMD480,Questionnaire,"(Not counting decks, porches, or detached garages) During the past 7 days, that is since last [TODAY'S DAY OF WEEK], on how many days did {anyone who lives here/you}, smoke tobacco inside this home?"
SEQN,Questionnaire,Respondent sequence number.
SMAQUEX,Questionnaire,Questionnaire Mode Flag.
SMQ856,Questionnaire,"I will now ask you about tobacco smoke in other places. During the last 7 days, {were you/was SP} working at a job or business outside of the home?"
SMQ858,Questionnaire,"While {you were/SP was} working at a job or business outside of the home, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ860,Questionnaire,"{I will now ask you about smoking in other places.} During the last 7 days, did {you/SP} spend time in a restaurant?"
SMQ862,Questionnaire,"While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ866,Questionnaire,"During the last 7 days, {did you/SP} spend time in a bar?"
SMQ868,Questionnaire,"While {you were/SP was} in a bar, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ870,Questionnaire,"During the last 7 days, did {you/SP} ride in a car or motor vehicle?"
SMQ872,Questionnaire,"While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?"
SMQ874,Questionnaire,"During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?"
SMQ876,Questionnaire,"While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?"
SMQ878,Questionnaire,"During the last 7 days,{were you/was SP} in any other indoor area?"
SMQ880,Questionnaire,"While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?"
SMQ940,Questionnaire,"The next question is about e-cigarettes. During the last 7 days, {were you/was SP} in an indoor place where someone was using an e cigarette, e hookah, vape pen or other similar electronic product?"
SEQN,Questionnaire,Respondent sequence number.
SMAQUEX2,Questionnaire,Questionnaire Mode Flag
SMD030,Questionnaire,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?
SMD057,Questionnaire,"At that time, about how many cigarettes did {you/SP} usually smoke per day?"
SMD093,Questionnaire,May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.
SMD100BR,Questionnaire,BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE)
SMD100CO,Questionnaire,CIGARETTE CARBON MONOXIDE CONTENT
SMD100FL,Questionnaire,CIGARETTE PRODUCT FILTERED OR NON-FILTERED
SMD100LN,Questionnaire,CIGARETTE PRODUCT LENGTH
SMD100MN,Questionnaire,CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED
SMD100NI,Questionnaire,CIGARETTE NICOTINE CONTENT
SMD100TR,Questionnaire,CIGARETTE TAR CONTENT
SMD630,Questionnaire,How old were you when you smoked a whole cigarette for the first time?
SMD641,Questionnaire,On how many of the past 30 days did {you/SP} smoke a cigarette?
SMD650,Questionnaire,"During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?"
SMDUPCA,Questionnaire,Cigarette 12-digit Universal Product Code (UPC)
SMQ020,Questionnaire,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?
SMQ040,Questionnaire,{Do you/Does SP} now smoke cigarettes?
SMQ050Q,Questionnaire,How long has it been since {you/SP} quit smoking cigarettes?
SMQ050U,Questionnaire,UNIT OF MEASURE
SMQ078,Questionnaire,How soon after you wake up do you smoke?  Would you say . . .
SMQ621,Questionnaire,The following questions are about cigarette smoking and other tobacco use.  Do not include cigars or marijuana.  About how many cigarettes have you smoked in your entire life?
SMQ661,Questionnaire,"During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?"
SMQ665A,Questionnaire,"Please select the Marlboro pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Marlboro.'"
SMQ665B,Questionnaire,"Please select the Camel pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Camel.'"
SMQ665C,Questionnaire,"Please select the Newport pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Newport.'"
SMQ665D,Questionnaire,"Please select the pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other brand of cigarette.'"
SMQ670,Questionnaire,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
SMQ848,Questionnaire,"During the past 12 months, how many times {have you/has SP} stopped smoking cigarettes because {you were/he was/she was} trying to quit smoking?"
SMQ852Q,Questionnaire,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?"
SMQ852U,Questionnaire,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?"
SMQ890,Questionnaire,"{Have you/Has SP} ever smoked a regular cigar, cigarillo or little filtered cigar even one time? This hand card shows examples of some cigars; however there are others not included here."
SMQ895,Questionnaire,"During the past 30 days, on how many days did {you/SP} smoke a regular cigar, cigarillo or little filtered cigar?"
SMQ900,Questionnaire,"The next question is about e-cigarettes. These are battery-powered devices that usually contain liquid nicotine, and don't produce smoke. Have {you/SP} EVER used an e-cigarette EVEN ONE TIME? This hand card shows examples of some e-cigarettes and other devices used to inhale liquid nicotine; however there are others not included here."
SMQ905,Questionnaire,"During the past 30 days, on how many days did {you/SP} use e-cigarettes?"
SMQ910,Questionnaire,"Smokeless tobacco products are placed in the mouth and nose and include chewing tobacco, snuff, dip, snus (pronounced as ""snoose"") and dissolvable tobacco. {Have you/Has SP} ever used smokeless tobacco even one time? This hand card shows examples of smokeless products; however there are others not included here."
SMQ915,Questionnaire,"During the past 30 days, on how many days did {you/SP} use smokeless tobacco?"
AGQ030,Questionnaire,"During the past 12 months, {have you/has SP} had an episode of hay fever?"
MCD093,Questionnaire,In what year did {you/SP} receive {your/his/her} first transfusion?
MCD180a,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . . had arthritis?
MCD180b,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had congestive heart failure?
MCD180c,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had coronary heart disease?
MCD180d,Questionnaire,"How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had angina, also called angina pectoris?"
MCD180e,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a heart attack (also called myocardial infarction)?
MCD180f,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a stroke?
MCD180g,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had emphysema?
MCD180k,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had chronic bronchitis?
MCD180l,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had any kind of liver condition?
MCD180m,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had another thyroid problem?
MCD180n,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had gout?
MCD240a,Questionnaire,How old {were you/was SP} when {cancer in MCQ230a} was first diagnosed?
MCD240b,Questionnaire,How old {were you/was SP} when {cancer in MCQ230b} was first diagnosed?
MCD240c,Questionnaire,How old {were you/was SP} when {cancer in MCQ230c} was first diagnosed?
MCQ010,Questionnaire,The following questions are about different medical conditions. Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma (az-ma)?
MCQ025,Questionnaire,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had asthma (az-ma)?
MCQ035,Questionnaire,{Do you/Does SP} still have asthma (az-ma)?
MCQ040,Questionnaire,"During the past 12 months, {have you/has SP} had an episode of asthma (az-ma) or an asthma attack?"
MCQ050,Questionnaire,"[During the past 12 months], {have you/has SP} had to visit an emergency room or urgent care center because of asthma (az-ma)?"
MCQ053,Questionnaire,"During the past 3 months, {have you/has SP} been on treatment for anemia (a-nee-me-a), sometimes called ""tired blood"" or ""low blood""?  [Include diet, iron pills, iron shots, transfusions as treatment.]"
MCQ080,Questionnaire,Has a doctor or other health professional ever told {you/SP} that {you were/s/he/SP was} overweight?
MCQ092,Questionnaire,{Have you/Has SP} ever received a blood transfusion?
MCQ149,Questionnaire,Have {SP's} periods or menstrual (men-stral) cycles started yet?
MCQ151,Questionnaire,How old was {SP} when she had {her} first menstrual period?
MCQ160a,Questionnaire,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had arthritis (ar-thry-tis)?
MCQ160b,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had congestive heart failure?
MCQ160c,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had coronary (kor-o-nare-ee) heart disease?
MCQ160d,Questionnaire,"Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had angina (an-gi-na), also called angina pectoris?"
MCQ160e,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a heart attack (also called myocardial infarction (my-o-car-dee-al in-fark-shun))?
MCQ160f,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a stroke?
MCQ160g,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had emphysema (emph-phi-see-ma)?
MCQ160k,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had chronic bronchitis?
MCQ160l,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had any kind of liver condition?
MCQ160m,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had another thyroid (thigh-roid) problem?
MCQ160n,Questionnaire,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had gout?
MCQ160o,Questionnaire,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had COPD?
MCQ170k,Questionnaire,{Do you/Does SP} still . . . have chronic bronchitis?
MCQ170l,Questionnaire,{Do you/Does SP} still . . . have any kind of liver condition?
MCQ170m,Questionnaire,{Do you/Does SP} still . . . have another thyroid problem?
MCQ195,Questionnaire,Which type of arthritis was it?
MCQ203,Questionnaire,"Has anyone ever told {you/SP} that {you/she/he/SP} had yellow skin, yellow eyes or jaundice? Please do not include infant jaundice, which is common during the first weeks after birth."
MCQ206,Questionnaire,"How old {were you/was SP} when {you were/s/he was} first told {you/s/he} had yellow skin, yellow eyes or jaundice?"
MCQ220,Questionnaire,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had cancer or a malignancy (ma-lig-nan-see) of any kind?
MCQ230a,Questionnaire,1st cancer - what kind was it?
MCQ230b,Questionnaire,2nd cancer - what kind was it?
MCQ230c,Questionnaire,3rd cancer - what kind was it?
MCQ230d,Questionnaire,More than 3 kinds of cancer.
MCQ300a,Questionnaire,"Including living and deceased, were any of {SP's/your} close biological that is, blood relatives including father, mother, sisters or brothers, ever told by a health professional that they had a heart attack or angina (an-gi-na) before the age of 50?"
MCQ300b,Questionnaire,"Including living and deceased, were any of {SP's/your} close biological that is, blood relatives including father, mother, sisters or brothers, ever told by a health professional that they had asthma (az-ma)?"
MCQ300c,Questionnaire,"Including living and deceased, were any of {SP's/your} close biological that is, blood relatives including father, mother, sisters or brothers, ever told by a health professional that they had diabetes?"
MCQ366a,Questionnaire,During the past 12 months {have you/has s/he} ever been told by a doctor or health professional to: control {your/his/her} weight or lose weight?
MCQ366b,Questionnaire,During the past 12 months {have you/has s/he} ever been told by a doctor or health professional to:increase {your/his/her} physical activity or exercise?
MCQ366c,Questionnaire,During the past 12 months {have you/has s/he} ever been told by a doctor or health professional to:watch or reduce the amount of sodium or salt in {your/his/her} diet?
MCQ366d,Questionnaire,During the past 12 months {have you/has s/he} ever been told by a doctor or health professional to: watch or reduce the amount of fat or calories in {your/his/her} diet?
MCQ371a,Questionnaire,{Are you/Is s/he} now doing any of the following:controlling {your/his/her} weight or losing weight?
MCQ371b,Questionnaire,{Are you/Is s/he} now doing any of the following: increasing {your/his/her} physical activity or exercise?
MCQ371c,Questionnaire,{Are you/Is s/he} now doing any of the following: watching or reducing the amount of sodium or salt in {your/his/her} diet?
MCQ371d,Questionnaire,{Are you/Is s/he} now doing any of the following: watching or reducing the amount of fat or calories in {your/his/her} diet?
MCQ500,Questionnaire,Has a doctor or other health professional ever told {you/SP} that {you/s/he} ever had any kind of liver condition?
MCQ510a,Questionnaire,Which type of liver condition was it . . .
MCQ510b,Questionnaire,Which type of liver condition was it . . .
MCQ510c,Questionnaire,Which type of liver condition was it . . .
MCQ510d,Questionnaire,Which type of liver condition was it . . .
MCQ510e,Questionnaire,Which type of liver condition was it . . .
MCQ510f,Questionnaire,Which type of liver condition was it . . .
MCQ520,Questionnaire,During the past 12 months {have you/has s/he} had pain in the abdominal area shaded on the diagram?
