Variable,Encoding
CDQ001,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ002,"{1: 'Yes', 2: 'No', 3: 'Never walks uphill or hurries', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ003,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ004,"{1: 'Stop or slow down', 2: 'Continue at the same pace', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ005,"{1: 'Relieved', 2: 'Not Relieved', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ006,"{1: '10 minutes or less', 2: 'More than 10 minutes', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ009A,"{1: 'Pain in right arm', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
CDQ009B,"{2: 'Pain in right chest', '.': 'Missing'}"
CDQ009C,"{3: 'Pain in neck', '.': 'Missing'}"
CDQ009D,"{4: 'Pain in upper sternum', '.': 'Missing'}"
CDQ009E,"{5: 'Pain in lower sternum', '.': 'Missing'}"
CDQ009F,"{6: 'Pain in left chest', '.': 'Missing'}"
CDQ009G,"{7: 'Pain in left arm', '.': 'Missing'}"
CDQ009H,"{8: 'Pain in epigastric area', '.': 'Missing'}"
CDQ008,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CDQ010,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBD071,"{8400: '8400 and over', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
CBD091,"{8400: '8400 and over', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
CBD111,"{8400: '8400 and over', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
CBD121,"{8400: '8400 and over', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
CBD131,"{8400: '8400 and over', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
CBQ502,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ503,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ506,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ536,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ541,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ551,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ581,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ586,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ830,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ835,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ840,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ845,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ850,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ855,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ860,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ865,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ870,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ875,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ880,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ885,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ890,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ895,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ900,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ645,"{1: 'Less than 500 calories', 2: '500-1000 calories', 3: '1001-1500 calories', 4: '1501-2000 calories', 5: '2001-2500 calories', 6: '2501-3000 calories', 7: 'More than 3000 calories', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
CBQ700,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ780,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ750,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ760,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ770,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ905,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ910,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ685,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ915,"{1: 'Only percent daily value', 2: 'Percent daily value more often', 3: 'Both percent daily value and amount of nutrients about the same', 4: 'Amount of nutrients more often', 5: 'Only amount of nutrients', 6: 'Do not use either', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ925,"{1: '5 % of the calories in one serving come from Vit A', 2: 'One serving contains 5% Vit A by weight', 3: 'One serving supplies 5% of the Vit A you should have in a day', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ930,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ935,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ945,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ950,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely', 5: 'Never', 6: 'Never seen', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ738a,"{1: 'To watch my weight and/or lose weight', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
CBQ738b,"{2: 'A family member is trying to watch weight and/or lose weight', '.': 'Missing'}"
CBQ738c,"{3: 'To watch for diabetes, high triglycerides, high cholesterol, high blood pressure or other health conditions', '.': 'Missing'}"
CBQ738d,"{4: 'A family member has a health condition (for example, diabetes, high triglycerides, high cholesterol, high blood pressure, etc)', '.': 'Missing'}"
CBQ738e,"{5: 'I am allergic to certain food(s)', '.': 'Missing'}"
CBQ738f,"{6: 'My family member(s) has food allergies', '.': 'Missing'}"
CBQ738g,"{7: 'To avoid certain ingredients (such as MSG, high fructose corn syrup, color dyes, artificial preservatives, or hydrogenated oils, etc.)', '.': 'Missing'}"
CBQ738h,"{8: ""To increase certain nutrients in my/family's diet (such as fiber, calcium, etc)"", '.': 'Missing'}"
CBQ738i,"{9: 'To compare which brand/food is better/healthier', '.': 'Missing'}"
CBQ738j,"{10: 'To make better/healthier choices for me and my family', '.': 'Missing'}"
CBQ738k,"{11: 'To watch for calorie content or certain nutrients (such as sodium, trans fat, sugar, carbohydrates, or protein, etc.)', '.': 'Missing'}"
CBQ738cd,"{91: 'Others', '.': 'Missing'}"
CBQ698a,"{1: ""I don't have time"", 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
CBQ698b,"{2: 'The print is too small for me to read', '.': 'Missing'}"
CBQ698c,"{3: ""I'm satisfied with my health so there is no need for me to check"", '.': 'Missing'}"
CBQ698d,"{4: 'I have a good diet so there is no need to check labels', '.': 'Missing'}"
CBQ698e,"{5: ""I usually buy foods that I'm used to, so I don't feel that I need to check labels"", '.': 'Missing'}"
CBQ698f,"{6: ""I buy what I or my family like, I don't care about the labels"", '.': 'Missing'}"
CBQ698g,"{7: ""I don't think the food labels are important to me"", '.': 'Missing'}"
CBQ698h,"{8: ""I won't know what to look for even if I read the labels"", '.': 'Missing'}"
CBQ698i,"{9: ""I can't read English that well"", '.': 'Missing'}"
CBQ698cd,"{91: 'Others', '.': 'Missing'}"
CBQ695a,"{1: 'The amount of this food that people should eat', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ695b,"{2: 'The amount of this food that people usually eat', '.': 'Missing'}"
CBQ695c,"{3: 'Something that makes it easier to compare foods', '.': 'Missing'}"
CBQ785,"{1: 'English', 2: 'Spanish', 3: 'English and Spanish', 4: 'Other', '.': 'Missing'}"
DBD930,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD935,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD940,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD945,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBD760,"{80: '>= 80 years of age', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
CBD765,"{1: 'Less than high school', 2: 'High school diploma (including GED)', 3: 'More than high school', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBD770,"{1: 'Male', 2: 'Female', '.': 'Missing'}"
HSD010,"{1: 'Excellent', 2: 'Very good,', 3: 'Good,', 4: 'Fair, or', 5: 'Poor?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HSQ500,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HSQ510,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HSQ520,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HSQ571,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HSQ580,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 8: '8', 9: '9', 10: '10', 11: '11', 12: '12', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
HSQ590,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
HSAQUEX,"{1: 'Dietary Recall Component -- B(1-11)', 2: 'MEC CAPI Questionnaire -- B(12-150)', '.': 'Missing'}"
DED031,"{1: 'Get a severe sunburn with blisters', 2: 'A severe sunburn for a few days with peeling', 3: 'Mildly burned with some tanning', 4: 'Turning darker without a sunburn', 5: 'Nothing would happen in half an hour', 6: 'Other', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DEQ034A,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely, or', 5: 'Never?', 6: ""Don't go out in the sun"", 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DEQ034C,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely, or', 5: 'Never?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DEQ034D,"{1: 'Always', 2: 'Most of the time', 3: 'Sometimes', 4: 'Rarely, or', 5: 'Never?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DEQ038G,"{1: 'Enter number', 2: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DEQ038Q,"{20: '20 or more times', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
DED120,"{0: 'No time spent outdoors', 14: '1-14 minutes', 3333: 'Does not work or go to school', 7777: 'Refused', 9999: ""Don't Know"", '.': 'Missing'}"
DED125,"{0: 'No time spent outdoors', 14: '1-14 minutes', 3333: 'At work or at school 9 to 5 seven days a week', 7777: 'Refused', 9999: ""Don't Know"", '.': 'Missing'}"
DIQ010,"{1: 'Yes', 2: 'No', 3: 'Borderline', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DID040,"{80: '80 years or older', 666: 'Less than 1 year', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DIQ160,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ170,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ172,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ175A,"{10: 'Family history', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DIQ175B,"{11: 'Overweight', '.': 'Missing'}"
DIQ175C,"{12: 'Age', '.': 'Missing'}"
DIQ175D,"{13: 'Poor diet', '.': 'Missing'}"
DIQ175E,"{14: 'Race', '.': 'Missing'}"
DIQ175F,"{15: 'Had a baby weighed over 9 lbs. at birth', '.': 'Missing'}"
DIQ175G,"{16: 'Lack of physical activity', '.': 'Missing'}"
DIQ175H,"{17: 'High blood pressure', '.': 'Missing'}"
DIQ175I,"{18: 'High blood sugar', '.': 'Missing'}"
DIQ175J,"{19: 'High cholesterol', '.': 'Missing'}"
DIQ175K,"{20: 'Hypoglycemic', '.': 'Missing'}"
DIQ175L,"{21: 'Extreme hunger', '.': 'Missing'}"
DIQ175M,"{22: 'Tingling/numbness in hands or feet', '.': 'Missing'}"
DIQ175N,"{23: 'Blurred vision', '.': 'Missing'}"
DIQ175O,"{24: 'Increased fatigue', '.': 'Missing'}"
DIQ175P,"{25: 'Anyone could be at risk', '.': 'Missing'}"
DIQ175Q,"{26: 'Doctor warning', '.': 'Missing'}"
DIQ175R,"{27: 'Other, specify', '.': 'Missing'}"
DIQ175S,"{28: 'Gestational diabetes', '.': 'Missing'}"
DIQ175T,"{29: 'Frequent urination', '.': 'Missing'}"
DIQ175U,"{30: 'Thirst', '.': 'Missing'}"
DIQ175V,"{31: 'Craving for sweet/eating a lot of sugar', '.': 'Missing'}"
DIQ175W,"{32: 'Medication', '.': 'Missing'}"
DIQ175X,"{33: 'Polycystic ovarian syndrome', '.': 'Missing'}"
DIQ180,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ050,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DID060,"{666: 'Less than 1 month', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DIQ060U,"{1: 'Months', 2: 'Years', '.': 'Missing'}"
DIQ070,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ230,"{1: '1 year ago or less', 2: 'More than 1 year ago but no more than 2 years ago', 3: 'More than 2 years ago but no more than 5 years ago', 4: 'More than 5 years ago', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ240,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DID250,"{0: 'None', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DID260,"{0: 'Never', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DIQ260U,"{1: 'Per day', 2: 'Per week', 3: 'Per month', 4: 'Per year', '.': 'Missing'}"
DIQ275,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ280,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DIQ291,"{1: 'Less than 6', 2: 'Less than 7', 3: 'Less than 8', 4: 'Less than 9', 5: 'Less than 10', 6: 'Provider did not specify goal', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DIQ300S,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DIQ300D,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DID310S,"{6666: 'Provider did not specify goal', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DID310D,"{6666: 'Provider did not specify goal', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DID320,"{5555: 'Never heard of LDL', 6666: 'Never had cholesterol test', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DID330,"{6666: 'Provider did not specify goal', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DID341,"{0: 'None', 7777: 'Refused', 9999: ""Don't know/not sure"", '.': 'Missing'}"
DID350,"{0: 'None', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DIQ350U,"{1: 'Per day', 2: 'Per week', 3: 'Per month', 4: 'Per year', '.': 'Missing'}"
DIQ360,"{1: 'Less than 1 month', 2: '1-12 months', 3: '13-24 months', 4: 'Greater than 2 years', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DIQ080,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ010,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD030,"{0: 'Still breastfeeding', 666666: 'More than 1095 days (3-year) old', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
DBD041,"{0: 'Never', 666666: 'More than 365 days (1-year) old', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
DBD050,"{0: 'Still drinking formula', 666666: 'More than 1095 days (3-year) old', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
DBD055,"{0: 'Never', 666666: 'More than 730 days (2-year) old', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
DBD061,"{0: 'Never', 666666: 'More than 1095 days (3-year) old', 777777: 'Refused', 999999: ""Don't know"", '.': 'Missing'}"
DBQ073A,"{10: 'Whole or regular milk', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DBQ073B,"{11: '2% fat or reduced-fat milk', '.': 'Missing'}"
DBQ073C,"{12: '1% fat or low-fat milk (includes 0.5% fat milk or low-fat milk not further specified),', '.': 'Missing'}"
DBQ073D,"{13: 'fat-free, skim or nonfat milk, or', '.': 'Missing'}"
DBQ073E,"{14: 'soy milk, or', '.': 'Missing'}"
DBQ073U,"{30: 'Another type?', '.': 'Missing'}"
DBQ700,"{1: 'Excellent', 2: 'Very good', 3: 'Good', 4: 'Fair', 5: 'Poor', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ197,"{0: 'Never', 1: 'Rarely-less than once a week', 2: 'Sometimes-once a week or more, but less than once a day, or', 3: 'Often-once a day or more?', 4: 'Varied', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ223A,"{10: 'Whole or regular,', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DBQ223B,"{11: '2% fat or reduced-fat milk,', '.': 'Missing'}"
DBQ223C,"{12: '1% fat or low-fat milk (includes 0.5% fat milk or low-fat milk not further specified),', '.': 'Missing'}"
DBQ223D,"{13: 'Skim, nonfat, or 0.5% fat milk (includes liquid or reconstituted from dry),', '.': 'Missing'}"
DBQ223E,"{14: 'soy milk, or', '.': 'Missing'}"
DBQ223U,"{30: 'Another type?', '.': 'Missing'}"
DBQ229,"{1: ""{I've/He's/She's} been a regular milk drinker for most or all of {my/his/her} life, including {my/his/her} childhood"", 2: ""{I've/He's/She's} never been a regular milk drinker;"", 3: ""{My/His/Her} milk drinking has varied over {my/his/her} life-sometimes {I've/he's/she's} been a regular milk drinker"", 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ235A,"{0: 'Never', 1: 'Rarely-less than once a week', 2: 'Sometimes-once a week or more, but less than once a day', 3: 'Often-once a day or more', 4: 'Varied', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ235B,"{0: 'Never', 1: 'Rarely-less than once a week', 2: 'Sometimes-once a week or more, but less than once a day', 3: 'Often-once a day or more', 4: 'Varied', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ235C,"{0: 'Never', 1: 'Rarely-less than once a week', 2: 'Sometimes-once a week or more, but less than once a day', 3: 'Often-once a day or more', 4: 'Varied', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ301,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ330,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ360,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ370,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD381,"{0: 'None', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DBQ390,"{1: 'Free', 2: 'Reduced price', 3: 'Full price', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ400,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD411,"{0: 'None', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DBQ421,"{1: 'Free', 2: 'Reduced price', 3: 'Full price', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ424,"{1: 'Yes', 2: 'No', 3: 'Did not attend summer program', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBD895,"{0: 'None', 5555: 'More than 21 meals per week', 7777: 'Refused', 9999: 'Dont Know', '.': 'Missing'}"
DBD900,"{0: 'None', 5555: 'More than 21 meals per week', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DBD905,"{0: 'Never', 6666: 'More than 90 times in 30 days', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DBD910,"{0: 'Never', 6666: 'More than 90 times in 30 days', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
CBQ596,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ606,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
CBQ611,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ930,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ935,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ940,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DBQ945,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ010,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ040,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ050,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ060,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ080,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ100,"{1: 'Daily', 2: 'Weekly', 3: 'Monthly', 4: 'A few times a year', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ110,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ130,"{1: 'A little', 2: 'A lot', 3: 'Somewhere in between a little and a lot', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ140,"{1: 'Daily', 2: 'Weekly', 3: 'Monthly', 4: 'A few times a year', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ150,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DLQ170,"{1: 'A little', 2: 'A lot', 3: 'Somewhere in between a little and a lot', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ200,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ210,"{11: '11 years or under', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ211,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ213,"{11: '11 years or under', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ215Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DUQ215U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ217,"{1: 'Once per month', 2: '2-3 times per month', 3: '4-8 times per month (about 1-2 times per   week)', 4: '9-24 times per month (about 3-6 times per   week)', 5: '25-30 times per month (one or more times   per day)', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ219,"{1: '1 per day', 2: '2 per day', 3: '3-5 per day', 4: 'Six or more per day', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ220Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DUQ220U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ230,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ240,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ250,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ260,"{11: '11 years or under', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ270Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
DUQ270U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DUQ272,"{1: 'Once', 2: '2-5 times', 3: '6-19 times', 4: '20-49 times', 5: '50-99 times', 6: '100 times or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DUQ280,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
DUQ290,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
