Variable,DataType,Label,Plain Description,Target
CBQ925,questionnaire,What does 5% Daily Value mean,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 5% Daily Value for Vitamin A in a serving of the product.  What does the 5% Daily Value mean to you?,Both males and females 1 YEARS -15 YEARS
CBQ930,questionnaire,Use calorie information on food label,"{Look at hand cards 26 and 27.}  How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?",Both males and females 1 YEARS -15 YEARS
CBQ935,questionnaire,Use sugars info on food label,"{Please turn your hand cards to the next page.}  How about information on sugars?  [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?]  Would you say always, most of the time, sometimes, rarely, or never?",Both males and females 1 YEARS -15 YEARS
CBQ945,questionnaire,Use sodium info on food label,"{Now turn to hand cards 30 and 31.}  How about information on sodium?  [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]",Both males and females 1 YEARS -15 YEARS
CBQ950,questionnaire,Use second column on food label,"{Please turn to the next hand card page.}  Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package.  On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?",Both males and females 1 YEARS -15 YEARS
CBQ708,questionnaire,,"BOX 5NEW. CHECK ITEM CBQ708: IF [DBQ750 = 1-3] OR [DBQ760 = 1-3] OR [DBQ770 = 1-3] OR [DBQ780 = 1-3], OR [CBQ905 = 1-3],  OR [CBQ910 = 1-3], OR [CBQ685 = 1-3], OR [CBQ930 = 1-3], OR [CBQ935 = 1-3],  OR [CBQ945 = 1-3],  OR [CBQ950 = 1-3], CONTINUE; ELSE IF [DBQ750 = 6-9] AND [DBQ760 = 6-9] AND [DBQ770 = 6-9] AND [DBQ780 = 6-9],  AND [CBQ905 = 6-9],  AND [CBQ910 = 6-9], AND [CBQ685 = 6-9],  AND [CBQ930 = 6-9],  AND [CBQ935 = 6-9],  AND [CBQ945 = 6-9],  AND [CBQ950 = 6-9], GO TO CBQ695a; OTHERWISE, GO TO CBQ698a.",Both males and females 1 YEARS -15 YEARS
CBQ738a,questionnaire,Check label to watch my weight,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738b,questionnaire,Check label for family member's weight,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738c,questionnaire,Check label for my health conditions,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738d,questionnaire,Check label for other's health condition,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738e,questionnaire,Check label for my food allergies,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738f,questionnaire,Check label for other's food allergies,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738g,questionnaire,Check label to avoid certain ingredients,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738h,questionnaire,Check label to increase certain nutrient,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738i,questionnaire,Check label to compare b/w brands/foods,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738j,questionnaire,Check label to make better choices,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738k,questionnaire,Check label to watch certain nutrients,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ738cd,questionnaire,Check label for other reasons,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ751,questionnaire,,BOX 5A. CHECK ITEM CBQ751: GO TO CBQ695a.,Both males and females 1 YEARS -15 YEARS
CBQ698a,questionnaire,Not check label: don't have the time,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698b,questionnaire,Not check label: the print is too small,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698c,questionnaire,Not check label: satisfied w/ my health,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698d,questionnaire,Not check label: I have a good diet,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698e,questionnaire,Not check label: mostly familiar foods,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698f,questionnaire,Not check label: don't care about labels,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698g,questionnaire,Not check label: not important to me,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698h,questionnaire,Not check label: what to look for,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698i,questionnaire,Not check label: can't read English well,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ698cd,questionnaire,Not check label: for other reasons,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Both males and females 1 YEARS -15 YEARS
CBQ695a,questionnaire,Serving size: amount people should eat,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Both males and females 1 YEARS -15 YEARS
CBQ695b,questionnaire,Serving size: amount people usually eat,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Both males and females 1 YEARS -15 YEARS
CBQ695c,questionnaire,Serving size: help comparing among foods,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Both males and females 1 YEARS -15 YEARS
CBQ785,questionnaire,Language of the interview,The interview was completed in:,Both males and females 1 YEARS -15 YEARS
DBD930,questionnaire,Respondent is main meal planner/preparer,Are you the person who does most of the planning or preparing of meals in your family?,Both males and females 1 YEARS -15 YEARS
DBD935,questionnaire,Respondent shares meal preparation duty,Do you share in the planning or preparing of meals with someone else?,Both males and females 1 YEARS -15 YEARS
DBD940,questionnaire,Respondent is main food shopper,Are you the person who does most of the shopping for food in your family?,Both males and females 1 YEARS -15 YEARS
DBD945,questionnaire,Respondent shares food shopping duty,Do you share in the shopping for food with someone else?,Both males and females 1 YEARS -15 YEARS
CBD760,questionnaire,Respondent's age,How old are you?,Both males and females 1 YEARS -15 YEARS
CBD765,questionnaire,Respondent's education level,Which of the following best describe your highest education level?,Both males and females 1 YEARS -15 YEARS
CBD770,questionnaire,Respondent's gender,What is the gender of the respondent?,Both males and females 1 YEARS -15 YEARS
HSD010,questionnaire,General health condition,Next I have some general questions about {your/SP's} health. Would you say {your/SP's} health in general is . . .,Both males and females 12 YEARS -150 YEARS
HSQ500,questionnaire,SP have head cold or chest cold,Did {you/SP} have a head cold or chest cold that started during those 30 days?,Both males and females 1 YEARS -150 YEARS
HSQ510,questionnaire,SP have stomach or intestinal illness?,Did {you/SP} have a stomach or intestinal illness with vomiting or diarrhea that started during those 30 days?,Both males and females 1 YEARS -150 YEARS
HSQ520,questionnaire,"SP have flu, pneumonia, ear infection?","Did {you/SP} have flu, pneumonia, or ear infections that started during those 30 days?",Both males and females 1 YEARS -150 YEARS
HSQ571,questionnaire,SP donated blood in past 12 months?,"During the past 12 months, that is, since (DISPLAY CURRENT MONTH, DISPLAY LAST YEAR), (have you/has SP) donated blood?",Both males and females 16 YEARS -150 YEARS
HSQ580,questionnaire,How long ago was last blood donation?,How long ago was {your/SP's} last blood donation?,Both males and females 16 YEARS -150 YEARS
HSQ590,questionnaire,Blood ever tested for HIV virus?,"Except for tests {you/SP} may have had as part of blood donations, {have you/has he/has she} ever had {your/his/her} blood tested for the AIDS virus infection?",Both males and females 16 YEARS -150 YEARS
HSAQUEX,questionnaire,Source of Health Status Data,Source of Health Status Data,Both males and females 1 YEARS -150 YEARS
DED031,questionnaire,Skin reaction to sun after non-exposure,"If after several months of not being in the sun, {you/SP} then went out in the sun without sunscreen or protective clothing for a half hour, which one of these would happen to {your/his/her} skin?",Both males and females 20 YEARS -59 YEARS
DEQ034A,questionnaire,Stay in the shade?,"When {you go/SP goes} outside on a very sunny day, for more than one hour, how often {do you/does SP} Stay in the shade?",Both males and females 20 YEARS -59 YEARS
DEQ034C,questionnaire,Wear a long sleeved shirt,Wear a long sleeved shirt?  Would you say . . .,Both males and females 20 YEARS -59 YEARS
DEQ034D,questionnaire,Use sunscreen?,Use sunscreen?  Would you say . . .,Both males and females 20 YEARS -59 YEARS
DEQ038G,questionnaire,In past yr did you have sunburn?,How many times in the past year {have you/has SP} had a sunburn?,Both males and females 20 YEARS -59 YEARS
DEQ038Q,questionnaire,# of times in past yr you had a sunburn,How many times in the past year {have you/has SP} had a sunburn?,1 to 19
DED120,questionnaire,Minutes outdoors 9am - 5pm work day,"The next questions ask about the time you spent outdoors during the past 30 days. By outdoors, I mean outside and not under any shade. How much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days that you worked or went to school?",0 to 480
DED125,questionnaire,Minutes outdoors 9am - 5pm not work day,"During the past 30 days, how much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days when you were not working or going to school?",0 to 480
DIQ010,questionnaire,Doctor told you have diabetes,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?",Both males and females 1 YEARS -150 YEARS
DID040,questionnaire,Age when first told you had diabetes,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?,Both males and females 1 YEARS -150 YEARS
DIQ159,questionnaire,,"BOX 4. CHECK ITEM DIQ.159: IF AGE <12 OR DIQ.010 = 1 (YES), GO TO DIQ.050. IF AGE >=12 AND DIQ.010 = 3, GO TO DIQ.170. OTHERWISE, CONTINUE.",Both males and females 1 YEARS -150 YEARS
DIQ160,questionnaire,Ever told you have prediabetes,"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following:  prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?",Both males and females 12 YEARS -150 YEARS
DIQ170,questionnaire,Ever told have health risk for diabetes,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?,Both males and females 12 YEARS -150 YEARS
DIQ172,questionnaire,Feel could be at risk for diabetes,{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?,Both males and females 12 YEARS -150 YEARS
DIQ175A,questionnaire,Family history,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175B,questionnaire,Overweight,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175C,questionnaire,Age,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175D,questionnaire,Poor diet,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175E,questionnaire,Race,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175F,questionnaire,Had a baby weighed over 9 lbs. at birth,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175G,questionnaire,Lack of physical activity,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175H,questionnaire,High blood pressure,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175I,questionnaire,High blood sugar,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175J,questionnaire,High cholesterol,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175K,questionnaire,Hypoglycemic,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175L,questionnaire,Extreme hunger,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175M,questionnaire,Tingling/numbness in hands or feet,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175N,questionnaire,Blurred vision,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175O,questionnaire,Increased fatigue,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175P,questionnaire,Anyone could be at risk,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175Q,questionnaire,Doctor warning,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175R,questionnaire,"Other, specify",Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175S,questionnaire,Gestational diabetes,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175T,questionnaire,Frequent urination,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175U,questionnaire,Thirst,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175V,questionnaire,Craving for sweet/eating a lot of sugar,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?,Both males and females 12 YEARS -150 YEARS
DIQ175W,questionnaire,Medication,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ175X,questionnaire,Polycystic ovarian syndrome,Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],Both males and females 12 YEARS -150 YEARS
DIQ180,questionnaire,Had blood tested past three years,{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?,Both males and females 12 YEARS -150 YEARS
DIQ050,questionnaire,Taking insulin now,{Is SP/Are you} now taking insulin,Both males and females 1 YEARS -150 YEARS
DID060,questionnaire,How long taking insulin,For how long {have you/has SP} been taking insulin?,Both males and females 1 YEARS -150 YEARS
DIQ060U,questionnaire,Unit of measure (month/year),UNIT OF MEASURE,Both males and females 1 YEARS -150 YEARS
DIQ065,questionnaire,,"BOX 0.  CHECK ITEM DIQ.065:  IF DIQ.010 = 1 (YES) OR DIQ.010 = 3 (BORDERLINE OR PREDIABETES) OR DIQ.160 = 1 (YES) CONTINUE.OTHERWISE, GO TO END OF SECTION.",Both males and females 1 YEARS -150 YEARS
DIQ070,questionnaire,Take diabetic pills to lower blood sugar,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar?  These are sometimes called oral agents or oral hypoglycemic agents.,Both males and females 1 YEARS -150 YEARS
DIQ229,questionnaire,,"BOX 8.  CHECK ITEM DIQ.229:  IF DIQ.010 = 3 (BORDERLINE OR PREDIABETES) OR DIQ.160 = 1 (YES), GO TO END OF SECTION.      OTHERWISE, CONTINUE.",Both males and females 1 YEARS -150 YEARS
DIQ230,questionnaire,How long ago saw a diabetes specialist,When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes?  Do not include doctors or other health professionals.,Both males and females 1 YEARS -150 YEARS
DIQ240,questionnaire,Is there one Dr you see for diabetes,"Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes?  Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors.",Both males and females 1 YEARS -150 YEARS
DID250,questionnaire,Past year how many times seen doctor,How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?,Both males and females 1 YEARS -150 YEARS
DID260,questionnaire,How often check blood for glucose/sugar,"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Both males and females 1 YEARS -150 YEARS
DIQ260U,questionnaire,Unit of measure (day/week/month/year),"How often {do you check your/does SP check his/her} blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Both males and females 1 YEARS -150 YEARS
DIQ275,questionnaire,Past year Dr checked for A1C,"Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?",Both males and females 1 YEARS -150 YEARS
DIQ280,questionnaire,What was your last A1C level,"What was {your/SP's} last ""A one C"" level?",Both males and females 1 YEARS -150 YEARS
DIQ291,questionnaire,What does Dr say A1C should be,"What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level  should be?  (Pick the lowest level recommended by your health care professional.)",Both males and females 1 YEARS -150 YEARS
DIQ295,questionnaire,,"BOX 10A.  CHECK ITEM DIQ.295:  IF AGE <12, GO TO END OF SECTION.  OTHERWISE, CONTINUE.",Both males and females 1 YEARS -150 YEARS
DIQ300S,questionnaire,What was your recent SBP,Blood pressure is usually given as one number over another. What was {your/SP's} most recent blood pressure in numbers?,Both males and females 12 YEARS -150 YEARS
DIQ300D,questionnaire,What was your recent DBP,Blood pressure is usually given as one number over another. What was {your/SP's} most recent blood pressure in numbers?,Both males and females 12 YEARS -150 YEARS
DID310S,questionnaire,What does Dr say SBP should be,What does {your/SP's} doctor or other health professional say {your/his/her} blood pressure should be?,Both males and females 12 YEARS -150 YEARS
DID310D,questionnaire,What does Dr say DBP should be,What does {your/SP's} doctor or other health professional say {your/his/her} blood pressure should be?,Both males and females 12 YEARS -150 YEARS
DID320,questionnaire,What was most recent LDL number,"One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most recent LDL cholesterol number?",Both males and females 12 YEARS -150 YEARS
DID330,questionnaire,What does Dr say LDL should be,What does {your/SP's} doctor or other health professional say {your/his/her} LDL cholesterol should be?,Both males and females 12 YEARS -150 YEARS
DID341,questionnaire,Past year times Dr check feet for sores,"During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?",Both males and females 12 YEARS -150 YEARS
DID350,questionnaire,How often do you check your feet,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Both males and females 12 YEARS -150 YEARS
DIQ350U,questionnaire,Unit of measure (day/week/month/year),"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations?  Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",Both males and females 12 YEARS -150 YEARS
DIQ360,questionnaire,Last time had pupils dilated for exam,When was the last time {you/SP} had an eye exam in which the pupils were dilated?  This would have made {you/SP} temporarily sensitive to bright light.,Both males and females 12 YEARS -150 YEARS
DIQ080,questionnaire,Diabetes affected eyes/had retinopathy,Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?,Both males and females 12 YEARS -150 YEARS
DBQ010,questionnaire,Ever breastfed or fed breastmilk,Now I'm going to ask you some general questions about {SP's} eating habits.  Was {SP} ever breastfed or fed breastmilk?,Both males and females 0 YEARS -6 YEARS
DBD030,questionnaire,Age stopped breastfeeding(days),How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,Both males and females 0 YEARS -6 YEARS
DBD041,questionnaire,Age first fed formula(days),How old was {SP} when {he/she} was first fed formula?,Both males and females 0 YEARS -6 YEARS
DBD050,questionnaire,Age stopped receiving formula(days),How old was {SP} when {he/she} completely stopped drinking formula?,Both males and females 0 YEARS -6 YEARS
DBD055,questionnaire,Age started other food/beverage,"This next question is about the first thing that {SP} was given other than breast milk or formula.  Please include juice, cow's milk, sugar water, baby food, or anything else that {SP} might have been given, even water.  How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days)",Both males and females 0 YEARS -6 YEARS
DBD061,questionnaire,Age first fed milk(days),How old was {SP} when {he/she} was first fed milk?,Both males and females 0 YEARS -6 YEARS
DBQ073A,questionnaire,Type of milk first fed - whole milk,What type of milk was {SP} first fed?  Was it . . .,Both males and females 0 YEARS -6 YEARS
DBQ073B,questionnaire,Type of milk first fed - 2% milk,What type of milk was {SP} first fed?  Was it . . .,Both males and females 0 YEARS -6 YEARS
DBQ073C,questionnaire,Type of milk first fed - 1% milk,What type of milk was {SP} first fed?  Was it . . .,Both males and females 0 YEARS -6 YEARS
DBQ073D,questionnaire,Type of milk first fed - fat free milk,What type of milk was {SP} first fed?  Was it . . .,Both males and females 0 YEARS -6 YEARS
DBQ073E,questionnaire,Type of milk first fed - soy milk,What type of milk was {SP} first fed? Was it . . .,Both males and females 0 YEARS -6 YEARS
DBQ073U,questionnaire,Type of milk first fed - other,What type of milk was {SP} first fed?  Was it . . .,Both males and females 0 YEARS -6 YEARS
DBD085,questionnaire,CHECK ITEM,CHECK ITEM,Both males and females 0 YEARS -150 YEARS
DBQ700,questionnaire,How healthy is the diet,"Next I have some questions about {your/SP?s} eating habits.  In general, how healthy is {your/his/her} overall diet?  Would you say . . .",Both males and females 16 YEARS -150 YEARS
DBQ197,questionnaire,Past 30 day milk product consumption,"Now I'm going to ask a few questions about milk products.  Do not include their use in cooking.  In the past 30 days, how often did {you/SP} have milk to drink or on {your/his/her} cereal?  Please include chocolate and other flavored milks as well as hot cocoa made with milk.  Do not count small amounts of milk added to coffee or tea.  Would you say...",Both males and females 1 YEARS -150 YEARS
DBQ223A,questionnaire,You drink whole or regular milk,What type of milk was it?  Was it usually . . .,Both males and females 1 YEARS -150 YEARS
DBQ223B,questionnaire,You drink 2% fat milk,What type of milk was it?  Was it usually . . .,Both males and females 1 YEARS -150 YEARS
DBQ223C,questionnaire,You drink 1% fat milk,What type of milk was it?  Was it usually . . .,Both males and females 1 YEARS -150 YEARS
DBQ223D,questionnaire,You drink fat free/skim milk,What type of milk was it?  Was it usually . . .,Both males and females 1 YEARS -150 YEARS
DBQ223E,questionnaire,You drink soy milk,What type of milk was it? Was it usually . . .,Both males and females 1 YEARS -150 YEARS
DBQ223U,questionnaire,You drink another type of milk,What type of milk was it?  Was it usually . . .,Both males and females 1 YEARS -150 YEARS
DBD225,questionnaire,,"CHECK ITEM DBD225:  IF SP AGE 1-19 GO TO DBD355, OTHERWISE CONTINUE.",Both males and females 1 YEARS -150 YEARS
DBQ229,questionnaire,Regular milk use 5 times per week,"The next question is about regular milk use.  A regular milk drinker is someone who uses any type of milk at least 5 times a week.  Using this definition, which statement best describes {you/SP}?...",Both males and females 20 YEARS -150 YEARS
DBQ235A,questionnaire,How often drank milk age 5-12,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old?  Would you say...",Both males and females 20 YEARS -150 YEARS
DBQ235B,questionnaire,How often drank milk age 13-17,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old?  Would you say...",Both males and females 20 YEARS -150 YEARS
DBQ235C,questionnaire,How often drank milk age 18-35,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old?  Would you say...",Both males and females 20 YEARS -150 YEARS
DBD265a,questionnaire,,"CHECK ITEM DBD265A:  IF SP AGE 20-59, GO TO DBD895, OTHERWISE CONTINUE.",Both males and females 20 YEARS -150 YEARS
DBQ301,questionnaire,Community/Government meals delivered,"The next questions are about meals provided by community or government programs.  In the past 12 months, did {you/SP} receive any meals delivered to {your/his/her} home from community programs, ""Meals on Wheels"", or any other programs?",Both males and females 60 YEARS -150 YEARS
DBQ330,questionnaire,Eat meals at Community/Senior center,"In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals?",Both males and females 60 YEARS -150 YEARS
DBD355,questionnaire,,"CHECK ITEM DBD355: IF SP AGE >=60 or <4, GO TO DBD895, OTHERWISE, CONTINUE.",Both males and females 1 YEARS -150 YEARS
DBQ360,questionnaire,Attend kindergarten thru high school,"During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?",Both males and females 4 YEARS -19 YEARS
DBQ370,questionnaire,School serves school lunches,Does {your/SP's} school serve school lunches?  These are complete lunches that cost the same every day.,Both males and females 4 YEARS -19 YEARS
DBD381,questionnaire,# of times/week get school lunch,"During the school year, about how many times a week {do you/does SP} usually get a complete school lunch?",Both males and females 4 YEARS -19 YEARS
DBQ390,questionnaire,"School lunch free, reduced or full price","{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?",Both males and females 4 YEARS -19 YEARS
